ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
1,Doha,Qatar Exxon Mobil Open,1/6/2020,ATP250,Outdoor,Hard,1st Round,3,Bublik A.,Mannarino A.,55,43,919,1111,6,3,6,4,,,,,,,2,0,Completed
1,Doha,Qatar Exxon Mobil Open,1/6/2020,ATP250,Outdoor,Hard,1st Round,3,Moutet C.,Sandgren T.,81,68,638,803,7,6,6,4,,,,,,,2,0,Completed
1,Doha,Qatar Exxon Mobil Open,1/6/2020,ATP250,Outdoor,Hard,1st Round,3,Verdasco F.,Andujar P.,49,64,1025,867,6,4,6,3,,,,,,,2,0,Completed
1,Doha,Qatar Exxon Mobil Open,1/6/2020,ATP250,Outdoor,Hard,1st Round,3,Bedene A.,Ymer M.,58,76,905,681,3,6,6,4,6,3,,,,,2,1,Completed
1,Doha,Qatar Exxon Mobil Open,1/6/2020,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Barrere G.,54,83,920,636,6,3,3,6,6,3,,,,,2,1,Completed
1,Doha,Qatar Exxon Mobil Open,1/6/2020,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Thompson J.,62,63,881,878,6,4,6,2,,,,,,,2,0,Completed
1,Doha,Qatar Exxon Mobil Open,1/6/2020,ATP250,Outdoor,Hard,1st Round,3,Krajinovic F.,Edmund K.,40,69,1148,800,4,6,6,3,6,3,,,,,2,1,Completed
1,Doha,Qatar Exxon Mobil Open,1/7/2020,ATP250,Outdoor,Hard,1st Round,3,Djere L.,Sonego L.,39,51,1151,990,6,1,3,6,6,2,,,,,2,1,Completed
1,Doha,Qatar Exxon Mobil Open,1/7/2020,ATP250,Outdoor,Hard,1st Round,3,Fucsovics M.,Tiafoe F.,70,47,790,1050,6,4,4,6,6,4,,,,,2,1,Completed
1,Doha,Qatar Exxon Mobil Open,1/7/2020,ATP250,Outdoor,Hard,1st Round,3,Ilkel C.,Berankis R.,279,67,144,804,6,2,4,6,6,2,,,,,2,1,Completed
1,Doha,Qatar Exxon Mobil Open,1/7/2020,ATP250,Outdoor,Hard,1st Round,3,Kukushkin M.,Jaziri M.,66,229,816,206,6,0,6,3,,,,,,,2,0,Completed
1,Doha,Qatar Exxon Mobil Open,1/7/2020,ATP250,Outdoor,Hard,1st Round,3,Herbert P.H.,Cecchinato M.,65,75,840,690,6,3,6,4,,,,,,,2,0,Completed
1,Doha,Qatar Exxon Mobil Open,1/7/2020,ATP250,Outdoor,Hard,2nd Round,3,Bedene A.,Bublik A.,58,55,905,919,6,3,7,5,,,,,,,2,0,Completed
1,Doha,Qatar Exxon Mobil Open,1/7/2020,ATP250,Outdoor,Hard,2nd Round,3,Wawrinka S.,Chardy J.,15,54,1955,920,6,3,6,4,,,,,,,2,0,Completed
1,Doha,Qatar Exxon Mobil Open,1/8/2020,ATP250,Outdoor,Hard,2nd Round,3,Rublev A.,Kukushkin M.,23,66,1584,816,6,4,6,2,,,,,,,2,0,Completed
1,Doha,Qatar Exxon Mobil Open,1/8/2020,ATP250,Outdoor,Hard,2nd Round,3,Fucsovics M.,Ilkel C.,70,279,790,144,6,1,6,4,,,,,,,2,0,Completed
