ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
1,Brisbane,Brisbane International,12/31/2017,ATP250,Outdoor,Hard,1st Round,3,Dolgopolov O.,Schwartzman D.,169,26,315,1675,6,4,7,6,,,,,,,2,0,Completed
1,Brisbane,Brisbane International,12/31/2017,ATP250,Outdoor,Hard,1st Round,3,De Minaur A.,Johnson S.,209,44,245,1055,7,6,6,4,,,,,,,2,0,Completed
1,Brisbane,Brisbane International,1/1/2018,ATP250,Outdoor,Hard,1st Round,3,Harrison R.,Mayer L.,47,52,1010,909,6,4,3,6,6,2,,,,,2,1,Completed
1,Brisbane,Brisbane International,1/1/2018,ATP250,Outdoor,Hard,1st Round,3,Ebden M.,Tiafoe F.,76,79,670,662,6,3,6,2,,,,,,,2,0,Completed
1,Brisbane,Brisbane International,1/1/2018,ATP250,Outdoor,Hard,1st Round,3,Zverev M.,Smith J.P.,33,218,1302,235,6,4,7,5,,,,,,,2,0,Completed
1,Brisbane,Brisbane International,1/1/2018,ATP250,Outdoor,Hard,1st Round,3,Zeballos H.,Escobedo E.,66,120,768,498,6,3,6,4,,,,,,,2,0,Completed
1,Brisbane,Brisbane International,1/1/2018,ATP250,Outdoor,Hard,1st Round,3,Donaldson J.,Thompson J.,54,94,890,593,6,2,6,4,,,,,,,2,0,Completed
1,Brisbane,Brisbane International,1/2/2018,ATP250,Outdoor,Hard,1st Round,3,Mmoh M.,Delbonis F.,175,67,299,755,6,3,6,4,,,,,,,2,0,Completed
1,Brisbane,Brisbane International,1/2/2018,ATP250,Outdoor,Hard,1st Round,3,Chung H.,Muller G.,58,25,844,1695,6,3,7,6,,,,,,,2,0,Completed
1,Brisbane,Brisbane International,1/2/2018,ATP250,Outdoor,Hard,1st Round,3,Edmund K.,Shapovalov D.,50,51,992,981,6,7,7,6,6,4,,,,,2,1,Completed
1,Brisbane,Brisbane International,1/2/2018,ATP250,Outdoor,Hard,1st Round,3,Istomin D.,Dzumhur D.,63,30,809,1391,6,7,6,3,6,2,,,,,2,1,Completed
1,Brisbane,Brisbane International,1/2/2018,ATP250,Outdoor,Hard,1st Round,3,Millman J.,Polansky P.,128,137,436,404,7,6,6,0,,,,,,,2,0,Completed
1,Brisbane,Brisbane International,1/3/2018,ATP250,Outdoor,Hard,2nd Round,3,Dolgopolov O.,Zeballos H.,169,66,315,768,6,1,6,2,,,,,,,2,0,Completed
1,Brisbane,Brisbane International,1/3/2018,ATP250,Outdoor,Hard,2nd Round,3,Kyrgios N.,Ebden M.,21,76,2010,670,6,7,7,6,6,2,,,,,2,1,Completed
1,Brisbane,Brisbane International,1/3/2018,ATP250,Outdoor,Hard,2nd Round,3,Mmoh M.,Zverev M.,175,33,299,1302,6,2,5,7,6,4,,,,,2,1,Completed
1,Brisbane,Brisbane International,1/3/2018,ATP250,Outdoor,Hard,2nd Round,3,De Minaur A.,Raonic M.,209,24,245,1795,6,4,6,4,,,,,,,2,0,Completed
1,Brisbane,Brisbane International,1/4/2018,ATP250,Outdoor,Hard,2nd Round,3,Istomin D.,Donaldson J.,63,54,809,890,7,6,6,2,,,,,,,2,0,Completed
1,Brisbane,Brisbane International,1/4/2018,ATP250,Outdoor,Hard,2nd Round,3,Harrison R.,Hanfmann Y.,47,119,1010,499,6,7,6,4,6,2,,,,,2,1,Completed
1,Brisbane,Brisbane International,1/4/2018,ATP250,Outdoor,Hard,2nd Round,3,Edmund K.,Chung H.,50,58,992,844,7,6,5,7,6,4,,,,,2,1,Completed
1,Brisbane,Brisbane International,1/4/2018,ATP250,Outdoor,Hard,2nd Round,3,Dimitrov G.,Millman J.,3,128,5150,436,4,6,7,6,6,3,,,,,2,1,Completed
1,Brisbane,Brisbane International,1/5/2018,ATP250,Outdoor,Hard,Quarterfinals,3,De Minaur A.,Mmoh M.,209,175,245,299,6,4,6,0,,,,,,,2,0,Completed
1,Brisbane,Brisbane International,1/5/2018,ATP250,Outdoor,Hard,Quarterfinals,3,Kyrgios N.,Dolgopolov O.,21,169,2010,315,1,6,6,3,6,4,,,,,2,1,Completed
1,Brisbane,Brisbane International,1/5/2018,ATP250,Outdoor,Hard,Quarterfinals,3,Harrison R.,Istomin D.,47,63,1010,809,7,6,4,2,,,,,,,1,0,Retired
1,Brisbane,Brisbane International,1/5/2018,ATP250,Outdoor,Hard,Quarterfinals,3,Dimitrov G.,Edmund K.,3,50,5150,992,6,3,6,7,6,4,,,,,2,1,Completed
1,Brisbane,Brisbane International,1/6/2018,ATP250,Outdoor,Hard,Semifinals,3,Harrison R.,De Minaur A.,47,209,1010,245,4,6,7,6,6,4,,,,,2,1,Completed
