ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
1,Brisbane,Brisbane International,12/31/2018,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Nishioka Y.,19,75,1835,701,6,3,6,4,,,,,,,2,0,Completed
1,Brisbane,Brisbane International,12/31/2018,ATP250,Outdoor,Hard,1st Round,3,Raonic M.,Bedene A.,18,67,1855,780,6,0,6,3,,,,,,,2,0,Completed
1,Brisbane,Brisbane International,12/31/2018,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Mayer L.,131,56,433,895,6,3,6,1,,,,,,,2,0,Completed
1,Brisbane,Brisbane International,12/31/2018,ATP250,Outdoor,Hard,1st Round,3,Millman J.,Sandgren T.,38,61,1083,814,7,6,6,7,6,0,,,,,2,1,Completed
1,Brisbane,Brisbane International,12/31/2018,ATP250,Outdoor,Hard,1st Round,3,Uchiyama Y.,Humbert U.,185,102,275,572,6,4,7,6,,,,,,,2,0,Completed
1,Brisbane,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Kudla D.,Fritz T.,63,49,810,974,7,6,6,7,6,4,,,,,2,1,Completed
1,Brisbane,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Struff J.L.,40,57,1050,875,4,6,6,3,6,4,,,,,2,1,Completed
1,Brisbane,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Murray A.,Duckworth J.,240,234,200,206,6,3,6,4,,,,,,,2,0,Completed
1,Brisbane,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Kyrgios N.,Harrison R.,35,62,1125,810,7,6,5,7,7,6,,,,,2,1,Completed
1,Brisbane,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Tsonga J.W.,Kokkinakis T.,239,146,200,367,7,6,6,4,,,,,,,2,0,Completed
1,Brisbane,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,De Minaur A.,Popyrin A.,31,147,1298,367,6,2,6,2,,,,,,,2,0,Completed
1,Brisbane,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Bolt A.,72,154,715,352,6,3,6,0,,,,,,,2,0,Completed
1,Brisbane,Brisbane International,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Dimitrov G.,Millman J.,19,38,1835,1083,6,3,6,4,,,,,,,2,0,Completed
1,Brisbane,Brisbane International,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Uchiyama Y.,Edmund K.,185,14,275,2150,7,6,6,4,,,,,,,2,0,Completed
